Date,Description,Deposits/Additions,Withdrawals/Subtractions
1/2/2024,WT Fed#06223 Mvb Bank Inc /Org=Payward Ventures Inc,2496.00,
1/2/2024,Wells Fargo Rewards,40.00,
1/2/2024,Wire Trans Svc Charge,,15.00
1/2/2024,Non-WF ATM Withdrawal Holiday Store #462 Minneapolis MN,,303.00
1/2/2024,Non-Wells Fargo ATM Transaction Fee,,2.50
1/2/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4340,,400.00
1/2/2024,Online Transfer to Wings Financial Credit Union Sav for The House,,500.00
1/4/2024,Online Transfer to Way2Save Savings,,1521.00
1/4/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4340,,107.00
1/5/2024,Atlas Manufacturing Direct Deposit,682.52,
1/10/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4340,,400.00
1/10/2024,Online Transfer to Wings Financial Credit Union Sav for The House,,500.00
1/12/2024,Atlas Manufacturing Direct Deposit,682.53,
1/16/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4340,,500.00
1/16/2024,Paypal Inst Xfer Google Amazon M,,16.04
1/17/2024,Paypal Inst Xfer Spotifyusai,,11.98
1/19/2024,Atlas Manufacturing Direct Deposit,682.52,
1/22/2024,Paypal Inst Xfer Google Wizards,,53.48
1/24/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4340,,300.00
1/24/2024,IRS Usataxpymt,,935.00
1/26/2024,Atlas Manufacturing Direct Deposit,760.42,
1/29/2024,Paypal Inst Xfer Google Direwolf,,10.68
1/29/2024,Chase Credit Crd Epay,,100.00
2/1/2024,Non-WF ATM Withdrawal Holiday Store #462 Minneapolis MN,,303.00
2/1/2024,Non-Wells Fargo ATM Transaction Fee,,2.50
2/1/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4340,,505.00
2/1/2024,Online Transfer to Wings Financial Credit Union Sav for The House,,500.00
2/2/2024,Atlas Manufacturing Direct Deposit,760.41,
2/5/2024,Kraken Ftyo5Ex,1210.00,
2/5/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4340,,410.00
2/5/2024,Online Transfer to Wings Financial Credit Union Sav for The House,,500.00
2/5/2024,Chase Credit Crd Epay,,42.26
2/5/2024,Paypal Inst Xfer Simplemobil,,53.03
2/7/2024,Purchase Holiday Stations 0 Minneapolis MN,,22.31
2/7/2024,Purchase 365 Market 888 43 Troy MI,,5.75
2/7/2024,Purchase Sq *Niko Niko Boba Minneapolis MN,,15.01
2/7/2024,Purchase Crisp & Green Dink MN,,29.56
2/8/2024,Purchase 365 Market 888 43 Troy MI,,7.18
2/8/2024,Purchase 365 Market 888 43 Troy MI,,4.28
2/8/2024,Purchase Uep*Master Noodle Saint Paul MN,,36.38
2/9/2024,Atlas Manufacturing Direct Deposit,760.41,
2/9/2024,Purchase Holiday Stations 0 Minneapolis MN,,6.45
2/9/2024,Purchase Subway 23888 Minneapolis MN,,22.85
2/9/2024,Purchase Cub Foods #1630 Fridley MN,,107.96
2/9/2024,Purchase Wayne's Foods Plus Danbury WI,,43.99
2/12/2024,Purchase Caribou Coffee CO Fridley MN,,10.69
2/13/2024,Purchase Holiday Stations 0 Minneapolis MN,,6.35
2/13/2024,Purchase Subway 23888 Minneapolis MN,,22.85
2/14/2024,Purchase Cornerstone Parkin Minneapolis MN,,8.00
2/14/2024,Purchase Vapeprosmn Saint Paul MN,,156.37
2/14/2024,Purchase Holiday Stations 0 Minneapolis MN,,20.54
2/14/2024,Purchase 365 Market 888 43 Troy MI,,4.80
2/14/2024,Purchase 365 Market 888 43 Troy MI,,4.48
2/15/2024,Purchase 365 Market 888 43 Troy MI,,3.99
2/15/2024,Purchase Tst* Ramen Kazama Minneapolis MN,,45.36
2/15/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,100.00
2/16/2024,Atlas Manufacturing Direct Deposit,760.42,
2/16/2024,Purchase Super USA Lauderdale MN,,23.75
2/16/2024,Paypal Inst Xfer Google Amazon M,,16.04
2/20/2024,Paypal Inst Xfer Spotifyusai,,11.98
2/21/2024,Online Transfer to Wells Fargo Active Cash VISA Card xxxx4324,,400.00
2/23/2024,Atlas Manufacturing Direct Deposit,760.41,
